product_id,url,success,fall_back,crawled_at,name,sku,price,product_type,gender,type_id,collection,priceCurrency,discount-value
98933,https://www.glamira.fi/miesten-sormus-bright-fairy-10-mm.html?itm_source=recommendation&itm_medium=sorting&fbclid=IwAR1AkJM4cGZjn49x1zEI9wNuLg5bb91CSBnLyqHp8N0LulnfTKL2pQw5ez8&alloy=white_yellow-585,True,False,2026-04-25T08:32:23.207381,Miesten sormus Bright Fairy 10 mm,GWD-S4017-10-M,1865.000000,wedding_ring,men,simple,simple,EUR,10.0
98934,https://www.glamira.cz/panske-prsteny-bright-gleam-5-mm.html?alloy=white-585,True,False,2026-04-25T08:32:22.860756,Pánský snubní prsteny Bright Gleam 5 mm,GWD-S4018-M,20216.000000,wedding_ring,men,simple,simple,CZK,10.0
98935,https://www.glamira.cz/panske-prsteny-bright-gleam-6-mm.html?alloy=white-585,True,False,2026-04-25T08:32:20.347953,Pánský snubní prsteny Bright Gleam 6 mm,GWD-S4018-6-M,24849.000000,wedding_ring,men,simple,simple,CZK,10.0
98936,https://www.glamira.co.nz/men-s-ring-bright-gleam-8-mm.html?stone=diamond-Zirconia&alloy=white_red-375,True,False,2026-04-25T08:32:26.305890,Men's Ring Bright Gleam 8 mm,GWD-S4018-8-M,3424.000000,wedding_ring,men,simple,simple,NZD,10.0
98937,https://www.glamira.hk/men-s-ring-bright-gleam-10-mm.html?alloy=white_yellow-585&itm_source=recommendation&itm_medium=sorting,True,True,2026-04-25T08:32:29.771743,Men's Ring Bright Gleam 10 mm,GWD-S4018-10-M,2260.000000,wedding_ring,men,simple,simple,USD,10.0
98938,https://www.glamira.co.uk/men-s-ring-bright-morning-4-mm.html?fbclid=IwAR2DugYjh9n96_VGFyHSV9N6t32fYEkYPLtdPjYe0Z_9tGy0boBhcjkV8K0&alloy=white_yellow-585,True,False,2026-04-25T08:32:21.767934,Men's Wedding Ring Bright Morning 4 mm,GWD-S4019-M,602.000000,wedding_ring,men,simple,simple,GBP,10.0
98939,https://www.glamira.de/herrenring-bright-morning-5-mm.html?alloy=white-silber,True,False,2026-04-25T08:32:23.758881,Herren trauring Bright Morning 5 mm,GWD-S4019-5-M,930.000000,wedding_ring,men,simple,simple,EUR,10.0
98940,https://www.glamira.com.au/men-s-ring-bright-morning-6-mm.html?alloy=white-platin,True,False,2026-04-25T08:32:27.339313,Men's Wedding Ring Bright Morning 6 mm,GWD-S4019-6-M,1974.000000,wedding_ring,men,simple,simple,AUD,10.0
98941,https://www.glamira.hu/checkout/cart/configure/id/2252333/?alloy=white_red-375,True,True,2026-04-25T08:32:42.826836,Men's Ring Bright Morning 8 mm,GWD-S4019-8-M,2221.000000,wedding_ring,men,simple,simple,USD,10.0
98942,https://www.glamira.at/herrenring-bright-morning-10-mm.html?alloy=white-silber&alloy=white-silber,True,False,2026-04-25T08:32:33.967644,Herrenring Bright Morning 10 mm,GWD-S4019-10-M,1868.000000,wedding_ring,men,simple,simple,EUR,10.0
98943,https://www.glamira.hk/men-s-ring-bright-queen-4-mm.html?alloy=white-375,True,True,2026-04-25T08:32:46.741281,Men's Ring Bright Queen 4 mm,GWD-S4020-M,811.000000,wedding_ring,men,simple,simple,USD,10.0
98944,https://www.glamira.co.uk/men-s-ring-bright-queen-5-mm.html?alloy=white-silber&itm_source=recommendation&itm_medium=smartsearch,True,False,2026-04-25T08:32:34.311874,Men's Wedding Ring Bright Queen 5 mm,GWD-S4020-5-M,726.000000,wedding_ring,men,simple,simple,GBP,10.0
98945,https://www.glamira.hk/men-s-ring-bright-queen-6-mm.html?alloy=white-375&itm_source=recommendation&itm_medium=sorting&fbclid=IwAR0aTR1DWo48adx3l2iDjcZif-Kqw9_9OXVICieXJKNgx0ip78uML2VPFlE,True,True,2026-04-25T08:32:48.248214,Men's Ring Bright Queen 6 mm,GWD-S4020-6-M,1360.000000,wedding_ring,men,simple,simple,USD,10.0
98946,https://www.glamira.de/herrenring-bright-queen-8-mm.html?fbclid=IwAR1AfYbfAg7-o8mxh8_V-R7oEXf8afQYEKLfmaehxA3a30_mMQP0YWT2Rpk&alloy=white_yellow-585,True,False,2026-04-25T08:32:38.907880,Herrenring Bright Queen 8 mm,GWD-S4020-8-M,1558.000000,wedding_ring,men,simple,simple,EUR,10.0
98947,https://www.glamira.pt/anel-masculinos-bright-queen-10-mm.html?fbclid=IwAR3QSeVNlO0LyxLKvqDxlWGQDEx_hVWnrrxxOGjqHzQ-Y58hxVbeIGS2Snk&alloy=white_yellow-585,True,False,2026-04-25T08:32:40.068590,Anel Masculinos Bright Queen 10 mm,GWD-S4020-10-M,1694.000000,wedding_ring,men,simple,simple,EUR,10.0
98948,https://www.glamira.ro/inele-pentru-barbati-alluring-event-4-mm.html?alloy=white-375,True,False,2026-04-25T08:32:44.250527,Verigheta Bărbați Alluring Event 4 mm,GWD-S4021-M,3544.000000,wedding_ring,men,simple,simple,RON,10.0
98949,https://www.glamira.hk/men-s-ring-alluring-event-5-mm.html?alloy=yellow_white-375,True,True,2026-04-25T08:32:56.545071,Men's Ring Alluring Event 5 mm,GWD-S4021-5-M,1253.000000,wedding_ring,men,simple,simple,USD,10.0
