product_id,url,success,fall_back,crawled_at,name,sku,price,product_type,gender,type_id,collection,priceCurrency,discount-value
97596,https://www.glamira.ro/glamira-pendant-aristaios.html?alloy=white-585,True,False,2026-04-25T07:53:12.197257,GLAMIRA Pandantiv Aristaios,WSP-94,1079.000000,pendant,women,simple,fashion,RON,10
97597,https://www.glamira.cz/glamira-pendant-katalinka.html?fbclid=IwAR0Pauo4zXNqo0hmzTbHi_fqv8cKkuMsQO5NF04p_6NBu6sO9m3zho0rqRc,True,False,2026-04-25T07:53:13.279164,Glamira Přívěsek Katalinka,Katalinka,6887.000000,pendant,women,simple,fashion,CZK,10
97598,https://www.glamira.cz/glamira-pendant-armina.html?fbclid=IwAR0Nf0mDYuiinAJZ8tVGwcBi3QHD0p6dcMvmJHpUKVrWjZYBz-NiwL2FIRQ,True,False,2026-04-25T07:53:12.944070,GLAMIRA Přívěsek Armina,WSP-95,13304.000000,pendant,women,simple,vintage,CZK,10
97599,https://www.glamira.in/glamira-star-pendant-khione.html?fbclid=IwAR3eCkhMMQnQF2Vz9lZLJnECge6Kp2zDxekbKdp334HoQ3ZraBWFF2gVHcc,True,False,2026-04-25T07:53:13.948036,GLAMIRA Flower Pendant Khione,Khione,37808.000000,pendant,women,simple,star,INR,10
97600,https://www.glamira.com.tr/glamira-yildiz-pendant-kratos.html?fbclid=IwAR2mevGB3aGXCK3xiwBQXXmAscCJOcWxbqpiw10MKr_lmldCR5LC11tWFoc,True,True,2026-04-25T07:53:15.900442,GLAMIRA Flower Pendant Kratos,Kratos,967.000000,pendant,women,simple,flower,USD,10
97601,https://www.glamira.ca/glamira-flower-pendant-kinabalu.html?alloy=white_red-585,True,False,2026-04-25T07:53:13.555729,GLAMIRA Flower Necklace Kinabalu,Kinabalu,611.000000,pendant,women,simple,flower,CAD,10
97602,https://www.glamira.lv/glamira-pendant-artemis.html?fbclid=IwAR1Mg7iNS86AGVMlbByy1Y3vPHHzpIGXBQKFStbeEWiI9SM--EtVe6M4Qb0,True,False,2026-04-25T07:53:11.386752,GLAMIRA Kulons Artemis,WSP-96,218.000000,pendant,women,simple,fashion,EUR,10
97603,https://www.glamira.es/glamira-pendant-aspasia-circulo.html?fbclid=IwAR0nV2CX24Uzk2UCpUELNXM9-w2Efs5ASU9Fsn4Yd2mv9t6JQoaflcb49fg,True,False,2026-04-25T07:53:12.020664,GLAMIRA Colgante Aspasia,WSP-97,671.000000,pendant,women,simple,fashion,EUR,10
97604,https://www.glamira.be/glamira-pendant-krios.html?fbclid=IwAR0eKq7JJXjaZ1AfOjalH54592trjs9JIstQ5xSNWqrVFC_nq6yL-ZOjnhU,True,False,2026-04-25T07:53:22.558363,Glamira Hanger Krios,Krios,540.000000,pendant,women,simple,vintage,EUR,10
97605,https://www.glamira.com.tr/glamira-sarmasik-pendant-kronos.html?alloy=white-585&utm_source=recommendation&utm_medium=detail&fbclid=IwAR0YYeGwZ1eOsFvpVEelsU4Ys1jLl-iFD_pzXVHWNISdXA6qMiLFj9MA3dw,True,True,2026-04-25T07:53:28.670931,GLAMIRA Ivy Pendant Kronos,Kronos,549.000000,pendant,women,simple,vintage,USD,10
