product_id,url,success,fall_back,crawled_at,name,sku,price,product_type,gender,type_id,collection,priceCurrency,discount-value
102861,https://www.glamira.hr/glamira-ring-leshelle-6-mm.html?itm_source=recommendation&itm_medium=sorting&fbclid=IwAR0-DWk6CBUuIt_IBzSjGDi4Q8LRSRYWPvJ7sQKwHW7iDVwhV6pJF1ztGOY,True,False,2026-04-25T00:11:41.580312,GLAMIRA Prsten Leshelle Ø6 mm,PH17-6,1088.000000,ring,women,simple,pearl,EUR,10
102862,https://www.glamira.pt/glamira-anel-leshelle-8-mm.html?fbclid=IwAR2nXPTGcnvWeLYe22QXAciAI01o53jU8WGznH96hMO9o0amxdjLUe1giRU,True,False,2026-04-25T00:11:47.423798,GLAMIRA Anel Leshelle Ø8 mm,PH17-8,1102.000000,ring,women,simple,pearl,EUR,10
102863,https://www.glamira.pt/glamira-anel-leveria-6-mm.html?itm_source=recommendation&itm_medium=sorting&fbclid=IwAR13CBRVYQTjxNpR9_cUbMGmr1eIj3If6GelOzWHXcCVbB5EAJLaLkBTzcg,True,False,2026-04-25T00:11:46.625605,GLAMIRA Anel Leveria Ø6 mm,PH18-6,1197.000000,ring,women,simple,pearl,EUR,10
102864,https://www.glamira.ro/glamira-ring-leveria-8-mm.html?alloy=red-585&diamond=ruby&pearl=red_pearl,True,False,2026-04-25T00:11:41.280349,GLAMIRA Inel Leveria Ø8 mm,PH18-8,5979.000000,ring,women,simple,pearl,RON,10
102865,https://www.glamira.com.pe/glamira-anillo-lilwen-6-mm.html?alloy=white-585&diamond=diamond-sapphire&gclid=EAIaIQobChMIxNHZ77nn6QIVdjC5Bh3e9AlHEAEYASABEgJr9_D_BwE,True,False,2026-04-25T00:11:47.532702,GLAMIRA Anillo Lilwen Ø6 mm,PH19-6,3853.000000,ring,women,simple,pearl,PEN,10
102866,https://www.glamira.cl/glamira-anillo-lionor-6-mm.html?stone2=diamond-Brillant&alloy=white-585&diamond=diamond-sapphire&gclid=CjwKCAjwiMj2BRBFEiwAYfTbCp9T-pnt5uStX4il0fxZgZAyUyAxI31aRBNJV3cBpuOm5XDpuYRtrBoCPhYQAvD_BwE,True,False,2026-04-25T00:11:47.633774,GLAMIRA Anillo Lionor Ø6 mm,PH20-6,1373294.000000,ring,women,simple,pearl,CLP,10
102867,https://www.glamira.co.uk/glamira-ring-lionor-8-mm.html?diamond=diamond-sapphire&stone2=diamond-Brillant&pearl=red_pearl&itm_source=recommendation&itm_medium=sorting&alloy=yellow-585,True,False,2026-04-25T00:11:42.891736,GLAMIRA Ring Lionor Ø8 mm,PH20-8,1041.000000,ring,women,simple,pearl,GBP,10
102868,https://www.glamira.ro/glamira-ring-lisenia-6-mm.html?itm_source=recommendation&itm_medium=sorting&fbclid=IwAR2W2nQYERoyKhVXN0_w76x2P5tlKfRfMBGUUOQRIzeYlSFPp7WBeOvLvw8,True,False,2026-04-25T00:11:54.061949,GLAMIRA Inel Lisenia Ø6 mm,PH21-6,4785.000000,ring,women,simple,pearl,RON,10
102869,https://www.glamira.es/glamira-anillo-lisenia-8-mm.html?alloy=white-silber&diamond=diamond-sapphire&pearl=white_pearl&itm_source=recommendation&itm_medium=sorting&fbclid=IwAR32B0J7Hn7RzRRASj75Z3IXL_yNSn4sJUXcK9Q3RBYwP8MrWNlfSu1kox4,True,False,2026-04-25T00:11:53.181962,GLAMIRA Anillo Lisenia Ø8 mm,PH21-8,995.000000,ring,women,simple,pearl,EUR,10
102870,https://www.glamira.lt/glamira-ring-lithumi-6-mm.html?fbclid=IwAR1vlKe6D7vziqmRGFR8-ee5jOFPMeEBtMnFEo_NpVFuW62jpTS_EzVdjKo,True,False,2026-04-25T00:11:54.904451,GLAMIRA Žiedas Lithumi Ø6 mm,PH22-6,831.000000,ring,women,simple,pearl,EUR,10
