product_id,url,success,fall_back,crawled_at,name,sku,price,product_type,gender,type_id,collection,priceCurrency,discount-value
93215,https://www.glamira.cz/classic-progress-3mm.html?alloy=white-palladium&keyword=&matchtype=&gclid=CjwKCAjwt-L2BRA_EiwAacX32ReDVENi1UYlWy4vtYgywAA9IdQnnVivKfRN9tFVtPkInt8gnoOzDRoCV-gQAvD_BwE,True,False,2026-04-25T06:25:26.594788,Classic Progress 3mm,GWD18210,25172.000000,wedding_ring,False,product_set,classic,CZK,10.0
93216,https://www.glamira.sg/classic-progress-4mm.html?stone=diamond-Brillant&itm_source=recommendation&itm_medium=sorting&fbclid=IwAR1uAfH1atOQVferDJsl4T7YZqIoRgQuQgw1zOFZU51jBTGKZl0tNJdmONs&alloy=yellow-375,True,True,2026-04-25T06:25:29.987415,Wedding Ring Classic Progress 4mm,GWD18220,1775.000000,wedding_ring,False,product_set,classic,USD,10.0
93217,https://www.glamira.hr/classic-progress-5mm.html?stone=diamond-Brillant&fbclid=IwAR2XA5fwQN7tCtL2hgFX9vHJZKBkL__WiRUC6T0u5EIzC8ABhXa30WPuOEY&alloy=yellow-750,True,False,2026-04-25T06:25:20.531297,Vjenčani prsten Classic Progress 5mm,GWD18230,1812.000000,wedding_ring,False,product_set,classic,EUR,10.0
93218,https://www.glamira.de/classic-progress.html?alloy=red-750,True,False,2026-04-25T06:25:25.713999,Trauring Classic Progress,GWD18240,2150.000000,wedding_ring,False,product_set,classic,EUR,10.0
93219,https://www.glamira.de/damenring-classic-day-9-mm.html?fbclid=IwAR0kbEO-WwwMu1wF-uvIkLZqI1JFOE8Q-71UGwXZ31jmOO5zvuhgLZOama4&alloy=yellow-375,True,False,2026-04-25T06:25:26.705945,Damenring Classic Day 9 mm,GWD15670,1683.000000,wedding_ring,women,simple,classic,EUR,10.0
93220,https://www.glamira.de/classic-progress-7mm.html?alloy=yellow-750,True,False,2026-04-25T06:25:25.517460,Classic Progress 7mm,GWD18250,2738.000000,wedding_ring,False,product_set,classic,EUR,10.0
93221,https://www.glamira.com.pe/classic-trend-2-mm.html?alloy=white-silber&stone=diamond-Brillant&itm_source=recommendation&itm_medium=sorting,True,False,2026-04-25T06:25:27.587511,Classic Trend 2 mm,GWD15700,2984.000000,wedding_ring,False,product_set,classic,PEN,10.0
93222,https://www.glamira.de/classic-trend-3-mm.html?alloy=white-platin,True,False,2026-04-25T06:25:26.438089,Classic Trend 3 mm,GWD15730,1019.000000,wedding_ring,False,product_set,classic,EUR,10.0
93223,https://www.glamira.sk/damsky-prsten-classic-trend-2-mm.html?alloy=red-750,True,False,2026-04-25T06:25:30.647215,Dámsky prsteň Classic Trend 2 mm,GWD15710,339.000000,wedding_ring,women,simple,classic,EUR,10.0
93226,https://www.glamira.es/anillo-de-mujer-classic-glow-2mm.html?alloy=red-375&gclid=CjwKCAjwt-L2BRA_EiwAacX32cT5EPG1I49XWCvC_g90GYE96sqz1B5-WRexB_Nie6PeVXvT4yinyBoCDW4QAvD_BwE,True,False,2026-04-25T06:25:39.833596,Anillo de Mujer Classic Glow 2.5 mm,GWD18280,411.000000,wedding_ring,women,simple,classic,EUR,10.0
93227,https://www.glamira.de/classic-trend-4-mm.html?fbclid=IwAR2UUsdCSnm_FgZijbifZibfgwS8IsX9O5JYwg3BvYp5Ql4pfk2EnRTvFTI&alloy=yellow-585,True,False,2026-04-25T06:25:39.319219,Trauring Classic Trend 4 mm,GWD15750,1325.000000,wedding_ring,False,product_set,classic,EUR,10.0
93228,https://www.glamira.be/damesring-classic-trend-3-mm.html?alloy=white-585&gclid=Cj0KCQjwlN32BRCCARIsADZ-J4s4WQklOSBS2nRuWOOdnPxdoyRa-moDHhY8giam7y9K_r0Dt2Y2RQAaAgc6EALw_wcB,True,False,2026-04-25T06:25:39.760054,Damesring Classic Trend 3 mm,GWD15740,493.000000,wedding_ring,women,simple,classic,EUR,10.0
93229,https://www.glamira.se/damring-classic-glow-3mm.html?fbclid=IwAR2wx1TAjtRj8nYKqTDXsYF19Ffud6NqyTE49BxBkpQqfytBEpGAPqrYY8E&alloy=white-585,True,False,2026-04-25T06:25:38.986821,Damring Classic Glow 3mm,GWD18290,5534.000000,wedding_ring,women,simple,classic,SEK,10.0
93230,https://www.glamira.se/classic-trend-5-mm.html?fbclid=IwAR0XiL5EKFTVCODfzrBmB6geiEY5Sp9C3tZNv2b1MCUEkivBCl-IBCBIqwo&alloy=red-585,True,False,2026-04-25T06:25:39.448791,Vigselring Classic Trend 5 mm,GWD15770,20741.000000,wedding_ring,False,product_set,classic,SEK,10.0
93231,https://www.glamira.sg/womens-ring-classic-trend-4-mm.html?fbclid=IwAR0RNGbcKNpzo1Mew7YDhK8EImuC3Bb5kpuqZ3v-tDvffJ2j5S3z0yp_ix4&alloy=yellow-585,True,True,2026-04-25T06:25:41.085165,Women's Ring Classic Trend 4 mm,GWD15760,858.000000,wedding_ring,women,simple,classic,USD,10.0
93232,https://www.glamira.com/womens-ring-classic-glow-4mm.html?alloy=white-417,True,False,2026-04-25T06:25:42.428483,Women's Ring Classic Glow 4mm,GWD18300,850.000000,wedding_ring,women,simple,classic,USD,10.0
93233,https://www.glamira.it/anelli-donna-classic-glow-5mm.html?alloy=yellow-375,True,False,2026-04-25T06:25:43.071517,Fede nuziale donna Classic Glow 5mm,GWD18310,862.000000,wedding_ring,women,simple,classic,EUR,10.0
93234,https://www.glamira.de/damenring-classic-glow.html?alloy=yellow-375,True,False,2026-04-25T06:25:51.164935,Damen trauring Classic Glow,GWD18320,1024.000000,wedding_ring,women,simple,classic,EUR,10.0
