product_id,url,success,fall_back,crawled_at,name,sku,price,product_type,gender,type_id,collection,priceCurrency,discount-value
103877,https://www.glamira.ch/glamira-ring-fabiana.html?fbclid=IwAR3nsPKhxFYZmLwVsJNPT7NoK_BAKc4lQGitnTqDNw_c39iER3ITWH1H9Xs,True,False,2026-04-25T00:41:38.776560,Glamira Ringe Fabiana,fabiana,653.000000,ring,women,simple,cabochon,CHF,10
103878,https://www.glamira.dk/glamira-ring-felinda.html?alloy=white-585&diamond=ruby-cabochon&stone2=diamond-sapphire,True,False,2026-04-25T00:41:33.342920,Glamira Ring Felinda,felinda,10962.000000,ring,women,simple,cabochon,DKK,10
103879,https://www.glamira.be/glamira-ring-fenellie.html?fbclid=IwAR167qiyqFkoWRR4m4UU6yw4kp3JeXixphz8XQzeHJor5sf8I3My-S8AgHI,True,False,2026-04-25T00:41:34.076635,Glamira Ringen Fenellie,fenellie,813.000000,ring,women,simple,cabochon,EUR,10
103880,https://www.glamira.se/glamira-ring-florens.html?fbclid=IwAR0LGjrqWCVhCJTojVzS_6QsKxHNrTSK9j-4nQ2XEkJkhJ1O-DeNXuWXr6c,True,False,2026-04-25T00:41:40.822937,GLAMIRA Ring Florens,florens,11365.000000,ring,women,simple,cabochon,SEK,10
103881,https://www.glamira.ro/glamira-ring-floriana.html?stone2=diamond-Swarovsky&alloy=white-585&diamond=peridot-cabochon&utm_source=criteo&utm_medium=retargeting&utm_campaign=webconversion,True,False,2026-04-25T00:41:40.135911,Glamira Inel Floriana,floriana,4764.000000,ring,women,simple,cabochon,RON,10
103882,https://www.glamira.fr/glamira-ring-floynce.html?stone2=diamond-Swarovsky&alloy=white-585&diamond=green-amethyst-cabochon&utm_source=criteo&utm_medium=retargeting&utm_campaign=webconversion,True,False,2026-04-25T00:41:40.924599,Glamira Bague Floynce,floynce,801.000000,ring,women,simple,cabochon,EUR,10
103883,https://www.glamira.es/glamira-ring-forenza.html?fbclid=IwAR14OjcZacgB3c4zmRK8dWJOiI_mbdABkwESXrSGQTdb1za31vc5pm7Vr4I,True,False,2026-04-25T00:41:40.290447,Glamira Anillo Forenza,forenza,2052.000000,ring,women,simple,cabochon,EUR,10
103884,https://www.glamira.fi/glamira-sormus-hildagarde.html?fbclid=IwAR0XJDM_NaHA7qEXkhH5VZeu2nbQZzw7NVG1dNBVJ1d75WhVqpsIVfmjKpU,True,False,2026-04-25T00:41:39.908789,Glamira Sormus Hildagarde,hildagarde,910.000000,ring,women,simple,cabochon,EUR,10
103885,https://www.glamira.com.au/glamira-ring-kenia.html,True,False,2026-04-25T00:41:46.038086,GLAMIRA Ring Kenia,kenia,1991.000000,ring,women,simple,cabochon,AUD,10
103886,https://www.glamira.fi/glamira-sormus-koralise.html?fbclid=IwAR1IJTbI0sFbDKLZGZBQm5ktiu6n9F9y1wp9hh1I0SZluObh1JCm6mtAAlg,True,False,2026-04-25T00:41:45.923269,Glamira Sormus Koralise,koralise,648.000000,ring,women,simple,cabochon,EUR,10
103887,https://www.glamira.lt/glamira-ring-lalita.html?fbclid=IwAR1Dj95mVEGzF6XDxdxeNXzxhHKaeyOvRP-rEA6sbSDGlFKDnHfDqRz2Ie0,True,False,2026-04-25T00:41:50.602784,Glamira Žiedas Lalita,lalita,1122.000000,ring,women,simple,cabochon,EUR,10
103888,https://www.glamira.com/es/glamira-ring-lamberta.html,True,False,2026-04-25T00:41:56.179956,Glamira Anillo Lamberta,lamberta,1448.000000,ring,women,simple,cabochon,USD,10
103889,https://www.glamira.pl/glamira-ring-landra.html?alloy=red-585&stone2=diamond-sapphire&diamond=londonbluetopaz-cabochon,True,False,2026-04-25T00:41:49.509560,Glamira Pierścionek Landra,landra,4207.000000,ring,women,simple,cabochon,PLN,10
103890,https://www.glamira.com.pe/glamira-ring-leantin.html?alloy=red-750&diamond=emerald-cabochon&stone2=diamond-Swarovsky&itm_source=recommendation&itm_medium=detail,True,False,2026-04-25T00:41:58.086441,Glamira Anillo Leantin,leantin,2767.000000,ring,women,simple,cabochon,PEN,10
