product_id,url,success,fall_back,crawled_at
99053,https://www.glamira.com.tr/circules-vitae-10-mm.html?alloy=white-375&utm_source=criteo&utm_medium=retargeting&utm_campaign=webconversion,False,True,2026-04-25T08:36:14.428649
99058,https://www.glamira.ro/elegant-fresh-5-mm.html?alloy=white-750&gclid=EAIaIQobChMIpuanw6Lj6QIVxA8YCh16vASYEAQYISABEgL8Y_D_BwE,False,True,2026-04-25T08:36:27.764184
99062,https://www.glamira.ee/embrace-belief-3-mm.html?stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting&fbclid=IwAR0HYB3S0oTobgF4Q4O5tulQkc-1-TGuiMLsyj0sJZmkx_zeLP6Ikicbv9Q&alloy=yellow-375,False,True,2026-04-25T08:36:30.346022
99063,https://www.glamira.ae/embrace-belief-4-mm.html?alloy=red-375&gclid=EAIaIQobChMI-9qIovHn6QIV0_ZRCh0-VQbCEAkYCiABEgIMEvD_BwE,False,True,2026-04-25T08:36:34.428719
99072,https://www.glamira.fr/embrace-certain-3-mm.html?alloy=white-silber&stone=diamond-Zirconia,False,True,2026-04-25T08:36:48.543132
99073,https://www.glamira.fr/embrace-certain-4-mm.html?itm_source=recommendation&itm_medium=sorting&stone=diamond-Brillant&fbclid=IwAR3JehM6qN-knXB2WS0k2_2NBvIcDi-eNYfLqHmVJ7M4VJq74PzG3Gb99hc&alloy=white_yellow-585,False,True,2026-04-25T08:36:50.411938
99119,https://www.glamira.pt/anel-femininos-circules-vitae-10-mm.html?stone=diamond-Zirconia&fbclid=IwAR17uqVfpUupuXC-TpwsakPCYf8gr4waTkKO9VcX78Xl2MsHWeUwkNO4LaA&alloy=white_yellow-585,False,True,2026-04-25T08:38:12.040244
99124,https://www.glamira.be/damesring-elegant-fresh-5-mm.html?stone=diamond-Zirconia&alloy=white-silber,False,True,2026-04-25T08:38:17.698169
99128,https://www.glamira.fr/bague-pour-femmes-embrace-belief-3-mm.html?alloy=yellow-375&stone=diamond-Zirconia,False,True,2026-04-25T08:38:24.505363
99129,https://www.glamira.it/anelli-donna-embrace-belief-4-mm.html?alloy=red-375,False,True,2026-04-25T08:38:27.470240
99138,https://www.glamira.at/damenring-embrace-certain-3-mm.html?alloy=white-silber,False,True,2026-04-25T08:38:40.174189
99139,https://www.glamira.com.au/womens-ring-embrace-certain-4-mm.html?alloy=yellow-750,False,True,2026-04-25T08:38:42.974453
